id,sku,name,price,short_url,original_price,discount,discount_rate,review_count,rating_average
7982628,4120982499787,Suối Nguồn (Tái Bản),262500,https://tiki.vn/product-p7982628.html?spid=7982629,380000,117500,31,1435,4.8
2496281,3092043388563,Đồi Gió Hú (Tái Bản),78000,https://tiki.vn/product-p2496281.html?spid=2496329,120000,42000,35,619,4.8
828621,1263496447936,Dolocher (Trinh Thám),63200,https://tiki.vn/product-p828621.html?spid=52157785,79000,15800,20,100,4.7
641906,2517976269846,Bí Mật Của Naoko,70200,https://tiki.vn/product-p641906.html?spid=641942,108000,37800,35,1428,4.7
540040,2397833057522,Giáo Trình Chuẩn HSK 1 - Bài Tập (Kèm file MP3),118000,https://tiki.vn/product-p540040.html?spid=262529,158000,40000,25,620,4.8
378448,2518407786529,Nhà Giả Kim,71100,https://tiki.vn/product-p378448.html?spid=19771358,79000,7900,10,1,5.0
276123443,3450275981703,Bộ Sách - Rèn Nhân Cách - Luyện Tài Năng:  Bác Hồ,21000,https://tiki.vn/product-p276123443.html?spid=276123738,22000,1000,5,0,0.0
276098486,3104437025647,Đam Mê Và Trừng Phạt,89200,https://tiki.vn/product-p276098486.html?spid=276098490,119000,29800,25,6,5.0
276077522,4666846928248,"Đường Đời Muôn Ngả, Gặp Gỡ Đã Là Nhân Duyên",94250,https://tiki.vn/product-p276077522.html?spid=276078027,145000,50750,35,10,5.0
275025274,4160292412895,Triết Lý Sống Của Chó Và Mèo,142000,https://tiki.vn/product-p275025274.html?spid=275025276,189000,47000,25,8,5.0
274802547,3413205067105,Tư Duy Phản Biện,54200,https://tiki.vn/product-p274802547.html?spid=2429813,54200,0,0,4,4.8
249876840,4754647446871,"Beartown - Thị trấn nhỏ, giấc mơ lớn",136500,https://tiki.vn/product-p249876840.html?spid=249876841,210000,73500,35,57,4.8
214186191,7535107260553,Những Kẻ Xuất Chúng (Tái Bản),100870,https://tiki.vn/product-p214186191.html?spid=214186193,159000,58130,37,69,4.7
212213013,4006893772931,Từ điển tiếng việt dành cho học sinh - khổ to (Tái bản),47250,https://tiki.vn/product-p212213013.html?spid=212213014,75000,27750,37,17,4.8
201845361,5792133950074,"Súng, Vi Trùng Và Thép (Tái bản)",214270,https://tiki.vn/product-p201845361.html?spid=201845365,339000,124730,37,76,5.0
197352631,9572030755035,Anh Em Nhà Motohashi – Tập 3,57900,https://tiki.vn/product-p197352631.html?spid=197352632,68000,10100,15,54,4.7
196515668,3854014350765,"Quán Rượu Dị Giới ""Nobu"" - Tập 11",32000,https://tiki.vn/product-p196515668.html?spid=196515669,40000,8000,20,38,5.0
194104216,6374857263671,Văn Phòng Thám Tử Quái Vật - Tập 11,26300,https://tiki.vn/product-p194104216.html?spid=194104220,30000,3700,12,77,5.0
193411736,4030518827399,Anh Em Nhà Motohashi - Tập 2,62700,https://tiki.vn/product-p193411736.html?spid=193411737,68000,5300,8,73,5.0
191782162,7195278473891,Trên Đường Băng (Tony Buổi Sáng),74670,https://tiki.vn/product-p191782162.html?spid=191782164,105000,30330,29,156,5.0
190238356,8906550582998,Kỷ Luật Bản Thân,113400,https://tiki.vn/product-p190238356.html?spid=190238357,189000,75600,40,206,4.7
